,logl,unrestricted.logl,baseline.logl,nvar,nobs,npar,df,objective,chisq,pvalue,baseline.chisq,baseline.df,baseline.pvalue,nfi,pnfi,tli,nnfi,rfi,ifi,rni,cfi,rmsea,rmsea.ci.lower,rmsea.ci.upper,rmsea.pvalue,aic.ll,aic.ll2,aic.x,aic.x2,bic,bic2,ebic.25,ebic.5,ebic.75,ebic1
df16.pruned,-1102981.973,-1096495.204,-1234939.726,66,2277,373,1904,38.12876158,12973.53766,0,276889.0451,2145,0,0.953145356,0.846055365,0.954609857,0.954609857,0.9472147,0.959744947,0.959709636,0.959709636,0.019156341,0.018844952,0.019469136,1,2206709.945,2206727.981,9165.537663,13719.53766,2209571.035,2208385.668,2211133.776,2212696.518,2213946.711,2215822
df1.stepup,-1080810.494,-1074174.077,-1224867.72,66,2277,365,1912,35.09135495,13272.83339,0,301387.286,2145,0,0.955960872,0.8521199,0.957408137,0.957408137,0.950594179,0.962064204,0.962034666,0.962034666,0.019366112,0.019055635,0.019677981,1,2162350.987,2162368.25,9448.833387,14002.83339,2165150.713,2163990.77,2166679.937,2168209.161,2169432.541,2171267.609
df2.stepup,-1076658.651,-1069886.851,-1218235.839,66,2277,376,1901,34.56259143,13543.59902,0,296697.9756,2145,0,0.954352236,0.845791889,0.955400324,0.955400324,0.948493186,0.960506382,0.960473667,0.960473667,0.019661434,0.019350418,0.019973839,1,2154069.302,2154087.632,9741.599023,14295.59902,2156953.403,2155758.502,2158528.713,2160104.024,2161364.272,2163254.644
df3.stepup,-1105288.859,-1098492.299,-1244752.786,66,2277,362,1915,38.21720209,13593.11906,0,292520.9731,2145,0,0.95353113,0.851287699,0.954952495,0.954952495,0.947950013,0.959814594,0.959782764,0.959782764,0.019619293,0.019309363,0.019930602,1,2211301.717,2211318.695,9763.119057,14317.11906,2214078.432,2212928.022,2215595.087,2217111.742,2218325.066,2220145.052
df4.stepup,-1101143.648,-1094374.838,-1238120.905,66,2277,385,1892,37.68927581,13537.6194,0,287492.133,2145,0,0.95291134,0.840516669,0.953730453,0.953730453,0.9466146,0.959224041,0.959187887,0.959187887,0.019710699,0.019399003,0.020023788,1,2203057.296,2203076.525,9753.6194,14307.6194,2206010.432,2204786.93,2207623.449,2209236.466,2210526.88,2212462.5
df5.stepup,-1086660.197,-1080284.986,-1224721.584,66,2277,362,1915,35.9211104,12750.42128,0,288873.1966,2145,0,0.955861529,0.853368218,0.957671399,0.957671399,0.950560302,0.962240419,0.96221013,0.96221013,0.018898172,0.018587343,0.019210409,1,2174044.393,2174061.371,8920.42128,13474.42128,2176821.108,2175670.699,2178337.763,2179854.418,2181067.742,2182887.728
df6.stepup,-1082619.807,-1075983.787,-1218089.704,66,2277,369,1908,35.40641652,13272.03871,0,284211.8327,2145,0,0.953302301,0.847972396,0.954707154,0.954707154,0.9475018,0.959745362,0.959711539,0.959711539,0.019389136,0.019078363,0.019701303,1,2165977.613,2165995.261,9456.038713,14010.03871,2168808.022,2167635.366,2170354.004,2171899.987,2173136.773,2174991.952
df7.stepup,-1110966.275,-1104371.276,-1244606.65,66,2277,366,1911,39.02520824,13189.99823,0,280470.7491,2145,0,0.952971929,0.849011355,0.954513371,0.954513371,0.94721339,0.959509591,0.959475549,0.959475549,0.019301284,0.018990646,0.019613318,1,2222664.549,2222681.908,9367.998235,13921.99823,2225471.946,2224308.825,2227005.36,2228538.773,2229765.504,2231605.601
df8.stepup,-1106916.624,-1100242.512,-1237974.769,66,2277,369,1908,38.50934531,13348.22398,0,275464.5148,2145,0,0.951542855,0.846407351,0.952944238,0.952944238,0.945523807,0.958179669,0.958143406,0.958143406,0.01945402,0.019143326,0.019766106,1,2214571.248,2214588.896,9532.223982,14086.22398,2217401.656,2216229.001,2218947.639,2220493.621,2221730.408,2223585.587
df9.stepup,-1078293.305,-1071940.385,-1221832.677,66,2277,364,1913,34.88970994,12705.84037,0,299784.5835,2145,0,0.957616765,0.854042365,0.959340935,0.959340935,0.952476718,0.963766801,0.963738558,0.963738558,0.018870859,0.018559832,0.019183297,1,2157314.61,2157331.778,8879.840374,13433.84037,2160106.666,2158949.9,2161631.7,2163156.735,2164376.762,2166206.803
df10.stepup,-1073831.845,-1067684.787,-1215200.796,66,2277,383,1894,34.32186069,12294.11659,0,295032.0189,2145,0,0.958329551,0.846189357,0.959785247,0.959785247,0.952807227,0.964521434,0.964491029,0.964491029,0.01861703,0.018304105,0.01893139,1,2148429.69,2148448.717,8506.116587,13060.11659,2151367.485,2150150.338,2152972.122,2154576.76,2155860.47,2157786.036
df11.stepup,-1102592.392,-1096155.815,-1241717.742,66,2277,367,1910,37.99292519,12873.15379,0,291123.8554,2145,0,0.955781179,0.851068555,0.957394725,0.957394725,0.950340643,0.962093262,0.962062436,0.962062436,0.019034101,0.018723043,0.019346564,1,2205918.783,2205936.238,9053.153786,13607.15379,2208733.851,2207567.551,2210271.454,2211809.057,2213039.14,2214884.264
df12.stepup,-1097540.875,-1092075.859,-1235085.862,66,2277,396,1881,37.35058803,10930.03204,0,286020.0047,2145,0,0.961785778,0.843412144,0.963649242,0.963649242,0.956422378,0.968152799,0.968123181,0.968123181,0.017425609,0.017109777,0.017742928,1,2195873.751,2195894.107,7168.032035,11722.03204,2198911.262,2197652.803,2200570.365,2202229.469,2203556.751,2205547.675
df13.stepup,-1082993.235,-1076605.783,-1221686.541,66,2277,360,1917,35.57431952,12774.90557,0,290161.5175,2145,0,0.955973123,0.854359196,0.957817351,0.957817351,0.950736749,0.962330921,0.962301101,0.962301101,0.018907899,0.018597244,0.019219959,1,2166706.471,2166723.259,8940.905568,13494.90557,2169467.844,2168323.791,2170976.12,2172484.396,2173691.016,2175500.947
df14.stepup,-1078367.199,-1072341.258,-1215054.66,66,2277,379,1898,34.98569444,12051.88293,0,285426.8054,2145,0,0.957775925,0.847486576,0.95949165,0.95949165,0.952281011,0.964187473,0.964156247,0.964156247,0.018375927,0.018062991,0.018690304,1,2157492.399,2157511.026,8255.882933,12809.88293,2160399.512,2159195.077,2161987.391,2163575.27,2164845.573,2166751.028
df15.stepup,-1105956.48,-1100580.5,-1241571.607,66,2277,394,1883,38.50889977,10751.95879,0,281982.2135,2145,0,0.961870082,0.84438292,0.963896929,0.963896929,0.956564697,0.968336367,0.968306721,0.968306721,0.017242191,0.016926211,0.017559663,1,2212700.959,2212721.108,6985.958791,11539.95879,2215723.13,2214471.026,2217373.854,2219024.577,2220345.157,2222326.025
df16.stepup,-1101661.222,-1096495.204,-1234939.726,66,2277,412,1865,37.96203177,10332.03723,0,276889.0451,2145,0,0.96268528,0.837020068,0.964555273,0.964555273,0.95708307,0.969213466,0.96918209,0.96918209,0.016928076,0.016610013,0.017247656,1,2204146.445,2204168.5,6602.037231,11156.03723,2207306.684,2205997.377,2209032.821,2210758.959,2212139.869,2214211.235
df1.pruned configural,-1075404.888,-1067425.309,-1215981.304,66,4554,728,3826,34.59442156,15959.15759,0,297111.99,4290,0,0.946285717,0.843936865,0.95353965,0.95353965,0.939771491,0.958630286,0.958564732,0.958564732,0.020034265,0.019712917,0.020356687,1,2152265.776,2152336.195,8307.157593,17415.15759,2157848.001,2155534.47,2160898.07,2163948.138,2166388.193,2170048.276
df2.pruned configural,-1071267.718,-1063208.621,-1209347.475,66,4554,750,3804,34.06602684,16118.19255,0,292277.7066,4290,0,0.944853158,0.837813849,0.951777605,0.951777605,0.937807583,0.9573126,0.957240562,0.957240562,0.020241453,0.019919627,0.020564361,1,2144035.435,2144110.281,8510.192555,17618.19255,2149786.354,2147402.909,2152928.595,2156070.836,2158584.629,2162355.318
df3.pruned configural,-1100118.911,-1091680.947,-1235941.353,66,4554,716,3838,37.7573912,16875.9277,0,288520.8123,4290,0,0.941508803,0.842310206,0.948726881,0.948726881,0.934620314,0.954201915,0.954129084,0.954129084,0.020735321,0.020415934,0.021055781,1,2201669.821,2201737.885,9199.927705,18307.9277,2207160.032,2204884.636,2210159.824,2213159.617,2215559.451,2219159.203
df4.pruned configural,-1095598.948,-1087623.892,-1229307.523,66,4554,770,3784,37.18054784,15950.11052,0,283367.262,4290,0,0.943712233,0.832402585,0.950576503,0.950576503,0.93618538,0.95648484,0.956405941,0.956405941,0.02017248,0.019849658,0.020496389,1,2192737.895,2192816.888,8382.11052,17490.11052,2198642.172,2196195.168,2201868.206,2205094.24,2207675.067,2211546.308
df5.pruned configural,-1081371.424,-1073452.133,-1215893.345,66,4554,722,3832,35.44041911,15838.58197,0,284882.4251,4290,0,0.944403092,0.843578706,0.952095618,0.952095618,0.937758159,0.957279616,0.957209886,0.957209886,0.019913881,0.019592519,0.020236316,1,2164186.847,2164256.083,8174.581965,17282.58197,2169723.065,2167428.601,2172747.996,2175772.926,2178192.871,2181822.788
df6.pruned configural,-1077147.835,-1069227.144,-1209259.516,66,4554,736,3818,34.90108677,15841.3819,0,280064.7428,4290,0,0.943436715,0.839636685,0.95101157,0.95101157,0.936444082,0.956475932,0.956401439,0.956401439,0.019964311,0.019642473,0.020287226,1,2155767.67,2155839.683,8205.381897,17313.3819,2161411.239,2159072.284,2164494.825,2167578.411,2170045.279,2173745.582
df7.pruned configural,-1105540.098,-1097483.412,-1235853.394,66,4554,728,3826,38.53436602,16113.37045,0,276739.9628,4290,0,0.941774327,0.839913421,0.949430981,0.949430981,0.934712981,0.954977128,0.954900451,0.954900451,0.020161181,0.019840108,0.020483328,1,2212536.195,2212606.614,8461.370446,17569.37045,2218118.42,2215804.889,2221168.489,2224218.558,2226658.613,2230318.695
